N,X,Y
161,2310833.25000,5085064.00000
162,2310094.50000,5086509.50000
163,2310833.75000,5084536.00000
164,2309055.75000,5084123.00000
165,2309094.25000,5083145.00000
166,2307098.25000,5083362.50000
167,2311225.75000,5084287.50000
200,2310500.25000,5084946.50000
201,2310439.00000,5085071.00000
1001,2311096.59259,5089532.52778
1002,2311002.66821,5090469.05478
1003,2310641.71914,5085009.40895
1004,2310932.61304,5085129.04610
1005,2311675.08140,5085712.19232
1006,2310889.30383,5083654.11302
1007,2310607.56481,5084090.34722
1008,2309913.61111,5084873.17978
1009,2308572.08372,5083464.60513
1010,2310114.07369,5083977.50212
1011,2309561.39468,5084380.95004
1012,2309470.57523,5083964.11208
1013,2310400.25000,5084846.50000
1014,2310339.00000,5084971.00000
1015,2310167.25000,5084922.00000
1016,2310124.75000,5084978.50000
1017,2310290.75000,5085033.00000
1018,2310501.25000,5085252.50000
1019,2310492.00000,5085097.00000
1020,2310443.75000,5085038.00000
1021,2309981.75000,5084642.00000
1022,2309925.00000,5084554.50000
1023,2310338.75000,5084826.00000
1024,2310036.25000,5084816.50000
1025,2310499.25000,5084894.00000
1026,2310402.75000,5084668.50000
1027,2310380.25000,5084736.50000
1028,2310489.50000,5084379.50000
1029,2310249.50000,5084316.00000
1030,2309997.50000,5084255.50000
1031,2310330.00000,5084004.00000
1032,2309988.75000,5083944.00000
1033,2310727.50000,5084642.50000
1034,2310721.25000,5084844.00000
1035,2311012.75000,5084874.50000
1036,2310831.25000,5084738.00000
1037,2310729.50000,5084534.50000
1038,2310915.75000,5084624.50000
1039,2310996.00000,5084527.50000
1040,2310734.75000,5084135.00000
1041,2310807.25000,5083737.50000
1042,2311029.00000,5084088.50000
1043,2310742.00000,5084020.50000
1044,2311472.50000,5084247.00000
1045,2311160.50000,5084724.50000
1046,2311686.50000,5084662.00000
1047,2311434.75000,5084364.50000
1048,2311480.50000,5083733.00000
1049,2311555.25000,5083580.50000
1050,2310888.50000,5083444.50000
1051,2310031.50000,5083765.50000
1052,2310148.50000,5083448.50000
1053,2310393.00000,5083835.00000
1054,2310383.00000,5083484.50000
1055,2309199.00000,5083772.50000
1056,2309564.50000,5083832.00000
1057,2309197.75000,5083817.00000
1058,2309633.75000,5084016.50000
1059,2309532.50000,5084149.00000
1060,2309803.75000,5083835.00000
1061,2309562.50000,5084181.00000
1062,2309589.25000,5084204.50000
1063,2309803.75000,5084432.50000
1064,2309768.50000,5084466.00000
1065,2309851.25000,5084618.50000
1066,2309801.00000,5084666.50000
1067,2309924.50000,5084807.50000
1068,2309914.75000,5084945.50000
1069,2309788.75000,5085088.00000
1070,2309751.00000,5085076.50000
1071,2309596.75000,5085034.00000
1072,2309716.75000,5084788.00000
1073,2309492.00000,5084595.00000
1074,2309652.50000,5084384.00000
1075,2309251.25000,5084392.50000
1076,2309459.00000,5084214.50000
1077,2309367.50000,5084235.50000
1078,2309069.25000,5084170.50000
1079,2308864.50000,5084165.00000
1080,2309006.75000,5083957.50000
1081,2308690.00000,5083915.00000
1082,2308350.00000,5083704.00000
1083,2308236.25000,5083540.00000
1084,2308037.50000,5083155.50000
1085,2308146.25000,5083151.00000
1086,2308543.75000,5083142.50000
1087,2308465.00000,5083454.50000
1088,2308977.75000,5083785.50000
1089,2309006.25000,5083671.00000
1090,2309018.50000,5083634.00000
1091,2308797.50000,5083551.50000
1092,2308618.00000,5083399.50000
1093,2308670.25000,5083598.50000
1094,2308321.25000,5083312.00000
1095,2308386.00000,5083487.00000
1096,2308447.50000,5083681.50000
1097,2307841.00000,5085120.00000
1098,2307746.50000,5083238.50000
1099,2307831.75000,5082820.00000
1100,2309382.00000,5082819.50000
1101,2309444.50000,5083308.00000
1102,2310387.50000,5082789.50000
1103,2312166.25000,5085029.00000
1104,2312469.75000,5081982.50000
1105,2310728.00000,5084576.50000
1106,2310794.25000,5084882.00000
1107,2310846.00000,5084922.50000
1108,2310960.50000,5084670.50000
1109,2311018.75000,5084725.00000
1110,2310731.75000,5084366.50000
1111,2307683.25000,5086940.50000
1112,2307762.50000,5087206.50000
1113,2309060.75000,5086527.50000
1114,2309460.25000,5086874.00000
1115,2309839.75000,5085636.00000
1116,2309862.50000,5085614.50000
1117,2310155.25000,5085610.50000
1118,2310261.00000,5085083.00000
1119,2310130.50000,5086153.00000
1120,2309926.50000,5086384.50000
1121,2310249.25000,5085940.00000
1122,2310362.75000,5085707.00000
1123,2310589.00000,5086236.00000
1124,2310642.75000,5085996.50000
1125,2310552.25000,5085618.50000
1126,2310755.50000,5085690.00000
1127,2310875.25000,5085720.00000
1128,2310661.25000,5085382.50000
1129,2310796.50000,5085456.50000
1130,2310912.50000,5085519.50000
1131,2310676.75000,5085107.50000
1132,2310819.25000,5085108.00000
1133,2310886.00000,5085250.50000
1134,2310945.00000,5085284.50000
1135,2311053.50000,5085338.00000
1136,2311149.75000,5085388.00000
1137,2311235.00000,5085437.00000
1138,2311185.25000,5085605.50000
1139,2311538.50000,5085623.00000
1140,2311810.00000,5085745.00000
1141,2312073.50000,5085448.50000
1142,2312333.25000,5086017.50000
1143,2311278.25000,5084979.50000
1144,2311260.75000,5084744.00000
1145,2311910.25000,5085317.50000
1146,2310667.25000,5086785.00000
1147,2310173.75000,5088567.50000
1148,2311007.25000,5089207.00000
1149,2311288.25000,5088580.00000
1150,2310324.25000,5090140.00000
1151,2312256.50000,5088494.00000
1152,2312278.00000,5089307.50000
1153,2311428.75000,5089917.00000
1154,2311647.50000,5090178.00000
1155,2312363.75000,5090028.00000
1156,2311272.50000,5090643.00000
1157,2311011.50000,5090656.50000
1158,2312554.25000,5091702.00000
1159,2310557.75000,5084725.00000
1160,2307636.25000,5083275.50000
1161,2310832.25000,5085063.00000
1162,2310093.50000,5086508.50000
1163,2310832.75000,5084535.00000
1164,2309054.75000,5084122.00000
1165,2309093.25000,5083144.00000
1166,2307097.25000,5083361.50000
1167,2311224.75000,5084286.50000
1168,2310334.25000,5085057.00000
1169,2310395.25000,5085102.00000
1170,2310521.75000,5085299.00000
1171,2310558.25000,5085329.00000
1172,2310580.00000,5085311.50000
1173,2310072.50000,5084810.00000
1174,2310063.75000,5084792.00000
1175,2310044.50000,5084600.00000
1176,2310126.25000,5084703.50000
1177,2310050.75000,5084753.00000
1178,2310198.50000,5084795.00000
1179,2310250.25000,5084824.00000
1180,2310359.25000,5084788.00000
1181,2310351.75000,5084808.00000
1182,2309957.75000,5084815.00000
1183,2310243.00000,5084860.00000
1184,2310433.75000,5083968.00000
1185,2310726.75000,5084725.50000
1186,2310678.25000,5085035.00000
1187,2310830.25000,5085031.00000
1188,2310885.25000,5084979.50000
1189,2311091.75000,5084804.00000
1190,2311147.50000,5084748.00000
1191,2310649.75000,5083760.50000
1192,2310781.75000,5083808.50000
1193,2311809.75000,5084627.00000
1194,2310005.50000,5083841.50000
1195,2309142.75000,5083752.50000
