id,A,B,length,freespeed,capacity
580,1152,1350,412,12.500,1200
581,1153,1154,378,11.111,600
582,1153,1235,125,11.111,600
583,1153,1287,692,8.333,480
584,1154,1153,378,11.111,600
585,1154,1156,605,11.111,780
586,1154,1358,74,11.111,780
587,1155,1152,726,12.500,1200
588,1155,1158,1685,12.500,1200
589,1155,1273,225,19.444,960
590,1155,1361,297,11.111,780
591,1156,1154,605,11.111,780
592,1156,1157,298,11.111,780
593,1156,1158,1913,11.111,780
594,1157,1156,298,11.111,780
595,1157,1262,1184,11.111,780
596,1157,1287,174,8.333,480
597,1158,1155,1685,12.500,1200
598,1158,1156,1913,11.111,780
599,1158,1261,42,12.500,1200
600,1159,1026,165,6.944,360
601,1160,1265,561,9.722,780
602,1160,1298,272,12.500,960
603,1160,1301,52,12.500,960
604,1161,1132,47,8.333,660
605,1161,1187,32,12.500,960
606,1162,1120,208,6.944,600
607,1163,1038,122,11.111,780
608,1163,1105,113,8.333,660
609,1163,1110,197,11.111,780
610,1164,1057,350,11.111,780
611,1164,1078,51,12.500,960
612,1164,1080,171,12.500,960
613,1165,1086,549,11.111,780
614,1165,1291,194,11.111,780
615,1166,1299,272,12.500,960
616,1167,1039,332,11.111,780
617,1167,1040,513,11.111,780
618,1167,1267,161,11.111,960
619,1168,1169,76,8.333,480
620,1168,1257,72,8.333,480
621,1169,1018,190,8.333,480
622,1170,1171,47,8.333,480
623,1171,1214,215,12.500,960
624,1171,1255,30,12.500,960
625,1172,1171,28,12.500,960
626,1172,1255,14,12.500,960
627,1173,1024,37,6.944,600
628,1173,1174,20,12.500,1980
629,1174,1177,41,12.500,1980
630,1175,1176,132,12.500,1980
631,1176,1178,117,12.500,1980
632,1177,1021,131,12.500,1980
633,1178,1179,59,12.500,1980
634,1179,1023,90,12.500,1980
635,1179,1238,20,5.556,300
636,1180,1181,21,12.500,960
637,1180,1326,56,12.500,960
638,1181,1180,21,12.500,960
639,1181,1241,19,9.722,780
640,1182,1008,100,12.500,3480
641,1182,1024,80,8.333,660
642,1182,1067,34,8.333,480
643,1182,1068,137,8.333,660
644,1183,1023,123,5.556,300
645,1183,1238,17,5.556,300
