A,B,demand,XA,YA,XB,YB
114,6,56,2309461.2500,5086875.0000,2310890.3038,5083655.1130
114,8,107,2309461.2500,5086875.0000,2309914.6111,5084874.1798
115,8,54,2309840.7500,5085637.0000,2309914.6111,5084874.1798
116,8,35,2309863.5000,5085615.5000,2309914.6111,5084874.1798
117,3,96,2310156.2500,5085611.5000,2310642.7191,5085010.4090
118,3,35,2310262.0000,5085084.0000,2310642.7191,5085010.4090
118,8,41,2310262.0000,5085084.0000,2309914.6111,5084874.1798
120,6,15,2309927.5000,5086385.5000,2310890.3038,5083655.1130
122,3,164,2310363.7500,5085708.0000,2310642.7191,5085010.4090
122,6,30,2310363.7500,5085708.0000,2310890.3038,5083655.1130
123,1,3,2310590.0000,5086237.0000,2311097.5926,5089533.5278
124,1,106,2310643.7500,5085997.5000,2311097.5926,5089533.5278
124,5,26,2310643.7500,5085997.5000,2311676.4744,5085713.2614
125,5,132,2310553.2500,5085619.5000,2311676.4744,5085713.2614
126,5,132,2310756.5000,5085691.0000,2311676.4744,5085713.2614
127,4,100,2310876.2500,5085721.0000,2310933.5146,5085130.2103
127,5,32,2310876.2500,5085721.0000,2311676.4744,5085713.2614
128,1,15,2310662.2500,5085383.5000,2311097.5926,5089533.5278
128,5,45,2310662.2500,5085383.5000,2311676.4744,5085713.2614
129,5,132,2310797.5000,5085457.5000,2311676.4744,5085713.2614
130,4,60,2310913.5000,5085520.5000,2310933.5146,5085130.2103
131,6,60,2310677.7500,5085108.5000,2310890.3038,5083655.1130
132,6,60,2310820.2500,5085109.0000,2310890.3038,5083655.1130
133,4,60,2310887.0000,5085251.5000,2310933.5146,5085130.2103
134,4,128,2310946.0000,5085285.5000,2310933.5146,5085130.2103
135,4,128,2311054.5000,5085339.0000,2310933.5146,5085130.2103
136,4,128,2311150.7500,5085389.0000,2310933.5146,5085130.2103
137,4,128,2311236.0000,5085438.0000,2310933.5146,5085130.2103
138,5,109,2311186.2500,5085606.5000,2311676.4744,5085713.2614
139,5,172,2311539.5000,5085624.0000,2311676.4744,5085713.2614
140,5,172,2311811.0000,5085746.0000,2311676.4744,5085713.2614
141,5,98,2312074.5000,5085449.5000,2311676.4744,5085713.2614
142,5,22,2312334.2500,5086018.5000,2311676.4744,5085713.2614
143,5,97,2311279.2500,5084980.5000,2311676.4744,5085713.2614
144,7,33,2311261.7500,5084745.0000,2310608.5648,5084091.2540
145,7,34,2311911.2500,5085318.5000,2310608.5648,5084091.2540
146,1,25,2310668.2500,5086786.0000,2311097.5926,5089533.5278
147,1,80,2310174.7500,5088568.5000,2311097.5926,5089533.5278
148,1,58,2311008.2500,5089208.0000,2311097.5926,5089533.5278
149,1,22,2311289.2500,5088581.0000,2311097.5926,5089533.5278
150,1,59,2310325.2500,5090141.0000,2311097.5926,5089533.5278
151,1,37,2312257.5000,5088495.0000,2311097.5926,5089533.5278
152,1,15,2312279.0000,5089308.5000,2311097.5926,5089533.5278
153,2,63,2311429.7500,5089918.0000,2311003.6682,5090470.0548
154,2,63,2311648.5000,5090179.0000,2311003.6682,5090470.0548
155,2,111,2312364.7500,5090029.0000,2311003.6682,5090470.0548
156,2,63,2311273.5000,5090644.0000,2311003.6682,5090470.0548
157,2,63,2311012.5000,5090657.5000,2311003.6682,5090470.0548
158,2,33,2312555.2500,5091703.0000,2311003.6682,5090470.0548
161,4,60,2310833.2500,5085064.0000,2310933.5146,5085130.2103
163,7,37,2310833.7500,5084536.0000,2310608.5648,5084091.2540
164,11,64,2309055.7500,5084123.0000,2309562.3947,5084381.9500
